edge_idx,requested_lat,requested_lon,frc_response,currentSpeed,freeFlowSpeed,confidence,matched_lat,matched_lon,match_distance_m,valid_match,error
0,-6.315574149999999,106.7824529,FRC3,22,31,1.0,-6.341546768354284,106.77946640336404,2906.822742461439,False,
1,-6.315574149999999,106.7824529,FRC3,22,31,1.0,-6.341546768354284,106.77946640336404,2906.822742461439,False,
2,-6.326619399999993,106.8223725,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4432.883408245262,False,
3,-6.326619399999993,106.8223725,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4432.883408245262,False,
4,-6.314790450000007,106.79090794999999,FRC2,24,24,1.0,-6.315743875271233,106.79310141289449,264.58980870308034,False,
5,-6.342467124999979,106.80444257500002,FRC3,23,29,0.987484,-6.328264430896644,106.809446794635,1673.3037436287063,False,
6,-6.342467124999979,106.80444257500002,FRC3,23,29,0.987484,-6.328264430896644,106.809446794635,1673.3037436287063,False,
7,-6.3453425999999995,106.80376824999999,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,2049.8658852358026,False,
8,-6.3453425999999995,106.80376824999999,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,2049.8658852358026,False,
9,-6.321741425000154,106.81114297499951,FRC3,21,30,0.991653,-6.327026634731526,106.81080801571039,588.853289699635,False,
10,-6.321741425000154,106.81114297499951,FRC3,21,30,0.991653,-6.327026634731526,106.81080801571039,588.853289699635,False,
11,-6.3125362499999955,106.79641445,FRC4,22,28,0.983722,-6.327002475266842,106.81623948896686,2718.1223271290296,False,
12,-6.314857950000003,106.7901048,FRC2,24,24,1.0,-6.315743875271233,106.79310141289449,345.52646974130926,False,
13,-6.314857950000003,106.7901048,FRC2,24,24,1.0,-6.315743875271233,106.79310141289449,345.52646974130926,False,
14,-6.307714250000002,106.7936125,FRC6,16,23,0.947556,-6.325179931980111,106.79533703410891,1951.4252373254417,False,
15,-6.307714250000002,106.7936125,FRC6,16,23,0.947556,-6.325179931980111,106.79533703410891,1951.4252373254417,False,
16,-6.312255347500259,106.79345654999995,FRC2,19,19,1.0,-6.311925749488353,106.79347692215663,36.718722867339814,True,
17,-6.326435649999995,106.81106890000001,FRC3,21,30,0.991653,-6.327026634731526,106.81080801571039,71.7614069628836,True,
18,-6.326435649999995,106.81106890000001,FRC3,21,30,0.991653,-6.327026634731526,106.81080801571039,71.7614069628836,True,
